what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1619643557905
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619643558089
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1619643563223
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619643575602
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1619643580876
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619643581068
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1619643590234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619643593625
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619643595965
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619643600448
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1619643613162
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619643613294
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619643613421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619643621800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619643639029
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1619643642745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619643647668
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619643660045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619643663570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619643664004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619643670989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619643678337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619643682065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619643687681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619643706139
