what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620220395251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620220413241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620220432800
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620220433481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620220466519
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620220467442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620220738130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620220739336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620221078835
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1620221080823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1620221088256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1620221091261
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1620221098550
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1620221104189
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1620221117295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620221122421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620221131237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620221152416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620221155559
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1620221156157
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620221164740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620221164766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620221178147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620221625219
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1620221628403
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1620221645344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1620221661158
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1620221683346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620221696614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620221702857
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1620221728630
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1620221736488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620221739387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620221754619
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1620221758688
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1620221769927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620221773454
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1620221778620
