what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620214642591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620214646777
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1620214648297
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1620214660678
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1620214664846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620214668171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620214678359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620214700555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620214705914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620214719066
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1620214723971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620214996891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620215008541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620215028048
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1620215029543
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620215059990
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620215097698
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1620215147904
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1620215152220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620215154731
